cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,hyper_params,is_normalized,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1
-666.0,-666.0,-666.0,-666.0,GTZAN,"{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",1,mv_nn,,,,RhythmData,0.99375,0.9875,1.0,0.9937888198757764
-666.0,-666.0,-666.0,-666.0,GTZAN,"{""C"": 100.0, ""gamma"": 0.018873918221350997}",1,mv_svm,,,,RhythmData,0.975,0.9625,0.9875,0.9753086419753086
-666.0,-666.0,-666.0,-666.0,GTZAN,,1,simple_cnn,,,,RhythmData,0.9875,0.9746031641960144,1.0,0.9876980185508728
-666.0,-666.0,-666.0,-666.0,GTZAN,,1,linear,,,,RhythmData,0.9625,0.9424394249916077,0.9857142806053162,0.9596191763877868
-666.0,-666.0,-666.0,-666.0,GTZAN,,1,mv_linear,,,,RhythmData,0.98125,1.0,0.9625,0.980891719745223
