cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1
0.390625,0.5,0.5,0.2808988764044944,GTZAN,meansvm,6.2105263157894735,5.298316906283702e-09,,RhythmData,0.5,0.0,1.0,0.6666666666666666
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,6.2105263157894735,1.1721022975334793e-08,,RhythmData,0.725,0.45,1.0,0.7843137254901961
0.7578125,0.796875,0.71875,0.7496012759170654,GTZAN,meansvm,6.2105263157894735,2.592943797404667e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.421875,0.5,0.5,0.2967032967032967,GTZAN,meansvm,6.2105263157894735,5.736152510448681e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,6.2105263157894735,1.2689610031679235e-07,,RhythmData,0.85,0.7,1.0,0.8695652173913044
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,6.2105263157894735,2.807216203941181e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,6.2105263157894735,6.210169418915616e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,6.2105263157894735,1.3738237958832638e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,6.2105263157894735,3.039195382313201e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.40625,0.5,0.5,0.28888888888888886,GTZAN,meansvm,6.2105263157894735,6.723357536499335e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,6.2105263157894735,1.4873521072935119e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.7109375,0.84375,0.578125,0.669607843137255,GTZAN,meansvm,6.2105263157894735,3.290344562312671e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
