cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1,is_normalized
0.609375,0.921875,0.296875,0.3736383442265795,GTZAN,meansvm,1.0,1e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571,1
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,1.0,2.2122162910704502e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571,1
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,1.0,4.893900918477499e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571,1
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,1.0,1.0826367338740564e-09,,RhythmData,0.875,1.0,0.75,0.8571428571428571,1
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,1.0,2.395026619987491e-09,,RhythmData,0.875,1.0,0.75,0.8571428571428571,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,5.298316906283702e-09,,RhythmData,0.5,0.0,1.0,0.6666666666666666,1
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,1.0,1.1721022975334791e-08,,RhythmData,0.725,0.45,1.0,0.7843137254901961,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,2.5929437974046673e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809524,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,5.736152510448681e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809524,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,1.2689610031679235e-07,,RhythmData,0.85,0.7,1.0,0.8695652173913044,1
0.40625,0.5,0.5,0.2888888888888889,GTZAN,meansvm,1.0,2.8072162039411807e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,6.210169418915616e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.7578125,0.75,0.765625,0.7601965601965601,GTZAN,meansvm,1.0,1.3738237958832638e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,1.0,3.039195382313201e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.7265625,0.703125,0.75,0.7332859174964439,GTZAN,meansvm,1.0,6.723357536499334e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,1.487352107293512e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.4375,0.5,0.5,0.3043478260869565,GTZAN,meansvm,1.0,3.290344562312671e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,7.278953843983159e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.7265625,0.796875,0.65625,0.7078260869565217,GTZAN,meansvm,1.0,0.00016102620275609426,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.421875,0.5,0.5,0.2967032967032967,GTZAN,meansvm,1.0,0.0003562247890262444,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.4375,0.5,0.5,0.3043478260869565,GTZAN,meansvm,1.0,0.0007880462815669921,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,1.0,0.0017433288221999908,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,1.0,0.003856620421163472,,RhythmData,0.825,0.65,1.0,0.851063829787234,1
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,1.0,0.008531678524172814,,RhythmData,0.85,0.7,1.0,0.8695652173913044,1
0.421875,0.5,0.5,0.2967032967032967,GTZAN,meansvm,1.0,0.018873918221351,,RhythmData,0.9,0.8,1.0,0.9090909090909092,1
0.4375,0.5,0.5,0.3043478260869565,GTZAN,meansvm,1.0,0.041753189365604085,,RhythmData,0.925,0.85,1.0,0.9302325581395348,1
0.7578125,0.953125,0.5625,0.6984905660377358,GTZAN,meansvm,1.0,0.09236708571873883,,RhythmData,0.975,0.95,1.0,0.975609756097561,1
0.7890625,0.7822660098522167,0.8083743842364532,0.7911057692307693,GTZAN,meansvm,1.0,0.2043359717856948,,RhythmData,0.975,0.95,1.0,0.975609756097561,1
0.8046875,0.7852216748768472,0.8369458128078817,0.8093240093240094,GTZAN,meansvm,1.0,0.452035365636024,,RhythmData,0.95,0.9,1.0,0.9523809523809524,1
0.84375,0.875,0.8392857142857143,0.8412698412698413,GTZAN,meansvm,1.0,1.0,,RhythmData,0.95,0.9,1.0,0.9523809523809524,1
