cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,hyper_params,is_normalized,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1
0.9144615384615384,0.9846153846153847,0.8300699300699301,0.8955200973776826,GTZAN,{},1,mv_svm,,,,SpectroData,0.925,0.9,0.95,0.9268292682926829
0.960923076923077,0.9679487179487178,0.9547619047619047,0.961111111111111,GTZAN,"{""hidden_neurons"": [100, 100, 100, 100]}",1,mv_nn,,,,SpectroData,0.9,0.8,1.0,0.9090909090909091
0.9583333333333334,1.0,0.9134421134421133,0.9540448179271708,columbia-train,{},1,mv_svm,,,,SpectroData,0.925,0.9,0.95,0.9268292682926829
0.9833333333333334,0.9818181818181818,0.9857142857142858,0.9851851851851852,columbia-train,"{""hidden_neurons"": [100, 100, 100, 100]}",1,mv_nn,,,,SpectroData,0.95,0.9,1.0,0.9523809523809523
