cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,hyper_params,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1,is_normalized
0.95,1.0,0.992,0.9923076923076923,GTZAN,0.9857142857142858,mv_nn,,,,RhythmData,"{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",1.0,0.975609756097561,0.975,1
0.95,0.9777777777777779,0.9697777777777776,0.976923076923077,GTZAN,0.9739495798319329,mv_nn,,,,RhythmData,"{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.25}",1.0,0.975609756097561,0.975,1
0.95,0.9857142857142858,0.9857142857142858,0.9846153846153847,GTZAN,0.9833333333333332,mv_nn,,,,RhythmData,"{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.5}",1.0,0.975609756097561,0.975,1
1.0,0.4,0.23258687258687258,0.43015384615384616,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 1e-10}",0.35,0.5185185185185185,0.675,1
1.0,0.4461538461538462,0.30833333333333335,0.4532307692307692,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 2.2122162910704502e-10}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.25195195195195197,0.46861538461538466,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 4.893900918477499e-10}",0.05,0.09523809523809523,0.525,1
1.0,0.6,0.36691729323308275,0.42953846153846154,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 1.0826367338740564e-09}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.2452347083926031,0.4535384615384615,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 2.395026619987491e-09}",0.35,0.5185185185185185,0.675,1
1.0,0.5076923076923077,0.35588861588861587,0.4523076923076923,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 5.298316906283702e-09}",0.35,0.5185185185185185,0.675,1
1.0,0.49230769230769234,0.37485380116959066,0.5070769230769231,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 1.1721022975334793e-08}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.23333333333333334,0.43015384615384616,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 2.592943797404667e-08}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.3551265551265551,0.4067692307692308,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 5.736152510448681e-08}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.2452347083926031,0.4532307692307692,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 1.2689610031679235e-07}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.24864864864864863,0.4612307692307692,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 2.807216203941181e-07}",0.35,0.5185185185185185,0.675,1
1.0,0.5076923076923077,0.4013157894736842,0.4821538461538461,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 6.210169418915616e-07}",0.35,0.5185185185185185,0.675,1
1.0,0.36923076923076925,0.34,0.5289230769230768,GTZAN,0.8,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 1.3738237958832638e-06}",0.35,0.5185185185185185,0.675,1
1.0,0.36923076923076925,0.35964912280701755,0.5609230769230769,GTZAN,0.8,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 3.039195382313201e-06}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.23258687258687258,0.43015384615384616,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 6.723357536499335e-06}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.36293436293436293,0.42215384615384616,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 1.4873521072935119e-05}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.2281045751633987,0.42153846153846153,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 3.290344562312671e-05}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.3551265551265551,0.4067692307692308,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 7.27895384398316e-05}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.3789473684210526,0.4529230769230769,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.00016102620275609426}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.2138157894736842,0.3975384615384616,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.0003562247890262444}",0.35,0.5185185185185185,0.675,1
